"","00:00","00:20","00:40","01:00","01:20","01:40","02:00","02:20","02:40","03:00","03:20","03:40","04:00","04:20","04:40","05:00","05:20","05:40","06:00","06:20","06:40","07:00","07:20","07:40","08:00","08:20","08:40","09:00","09:20","09:40","10:00","10:20","10:40","11:00","11:20","11:40","12:00","12:20","12:40","13:00","13:20","13:40","14:00","14:20","14:40","15:00","15:20","15:40","16:00","16:20","16:40","17:00","17:20","17:40","18:00","18:20","18:40","19:00","19:20","19:40","20:00","20:20","20:40","21:00","21:20","21:40","22:00","22:20","22:40","23:00","23:20","23:40"
"2016-07-19",0,0,0,0,94.57,0,0,77.61,0,93.09,0,0,0,0,91.61,0,0,0,86.23,89.85,147.35,101.39,124.29,95.07,137.38,165.48,136.68,192.68,159.12,129.28,99.04,129.3,121.1,104.79,82.08,86.68,108.73,95.43,96.38,99.29,93.23,102.92,96.92,101.41,100.74,106.76,102.51,112.32,126.61,95.45,116.14,121.03,114.1,102.47,99.14,109.12,132.73,108.42,121.27,128.92,113.02,105.55,106.33,115.59,106.2,0,141.25,87.91,0,0,0,85.08
"2016-07-20",81.05,62.65,0,0,93.17,107.07,0,82.09,0,0,99.87,0,0,77.24,0,0,99.32,151.55,97.48,0,81.85,142.06,138.41,128.13,140.36,192.68,257.51,231.05,237.17,228.11,175.94,118.92,127.88,89.53,77.06,107.66,105.16,109.57,109.42,97.96,128.07,99.35,86,0,141.37,102.74,77.27,116.61,87.68,126.26,124.92,86.31,168.57,93.46,114.3,102.69,108.17,117,149.02,114.86,116.09,113.43,115.26,0,102.57,110.21,86.78,88.03,145.52,0,98.78,80.57
"2016-07-21",82.98,95.15,0,0,0,0,0,0,0,0,75.54,0,90.69,0,0,0,88.4,133.45,0,94.82,73.19,131.43,214.65,168.94,160.08,151.1,194.58,0,0,0,0,0,114.45,124.16,101.43,79.98,111,0,106.91,127.71,104.69,106.37,112.86,99.68,87.16,91.88,95.79,97.8,107.85,140.48,86.11,84.88,113.58,101.22,110.38,104.78,120.05,107.22,114.09,111.84,121.59,112.2,86.73,75.71,92.67,100.75,130,86.48,97.78,156.89,0,0
"2016-07-22",88.2,71.18,0,0,96.09,0,0,0,93.85,0,82.52,0,0,0,82.94,86.53,100.46,0,88.28,103.12,160.99,106.91,137.21,166.47,133.41,148.38,135.28,121.01,132.87,109.12,93.68,122.85,110.71,118.65,87.2,121.41,0,89.81,90.64,92.78,110.69,89.23,98.01,132.44,110.89,107.58,108.72,102.05,120.42,117.7,133.68,117.13,132.75,105.02,134.55,116.88,111.73,106.96,127.75,155.76,166.21,125.79,107.36,105.84,104.33,111.29,0,124.69,81.53,0,94.1,0
"2016-07-23",92.61,110.44,0,0,0,133.8,0,121.95,0,103.93,86.23,128.94,84.42,0,108.94,105.18,115.07,0,111.21,114.96,172.3,111.17,116.81,124.53,111.74,116.58,97.36,92.89,100.86,123.64,100.38,119.94,138.83,120.06,130.11,105.1,104.4,102.58,89.58,120.96,92.96,96.63,121.57,113.05,102.29,93.5,104.81,105.64,105.18,96.99,142.43,120.12,128.53,106.61,98.03,121.86,123.08,109.11,123.07,114.6,124.94,91.54,99.39,112.11,116.82,110.98,83.52,68.36,76.89,156.26,0,102.53
"2016-07-24",85.4,0,80.88,0,102.19,86.44,0,77.34,0,106.94,122.46,78.66,115.96,72.45,74.72,0,0,97.56,97.82,107.26,192.83,104.5,94.06,83.23,100.23,121.56,115.9,113.04,148.5,133.61,164.13,115.13,121.01,106.91,93.57,98.04,126.93,120.04,110.62,89.4,79.44,91.91,94.29,115.92,99.83,116.02,113.49,101.52,129.98,115.49,103.64,110.52,137.12,132.75,101.38,91.93,102.05,152.57,125.21,144.28,109.08,112.98,127.88,0,97.4,92.41,98.75,91.75,125.57,157.05,112.22,104.38
"2016-07-25",0,0,122.91,0,0,64.24,0,62.73,0,0,0,0,85.28,68.46,122.31,0,77.44,0,60.44,0,130.06,89.09,117.39,192.8,158.67,116.65,172.15,101.78,187.47,127.96,126.63,98.7,92.53,105.18,79.09,104.26,111.85,109.31,77.26,113.46,95.11,101.37,95.21,110.27,109.22,129.05,134.09,102.44,157.75,95.78,144.25,127.28,117.23,120.3,139.27,170.97,149.5,123.97,137.99,134.4,122.25,98.85,114.75,122.57,88.86,72.12,89.74,90.57,78.69,153.52,0,100.13
"2016-07-26",0,0,0,89.15,100.35,0,0,0,0,96.36,89.12,75.53,112.57,0,87.3,0,0,95.79,98.94,178.86,135.74,88.94,0,160.1,116.54,135.14,144.85,116.23,131.86,119.74,101.05,113.29,97,95.84,87.22,81.52,82.38,110.27,103.06,99.29,117.5,119.16,98.37,100.86,103.11,76.72,110.9,114.39,113.94,121.55,107.85,110.1,106.03,118.04,90.57,102.63,141.02,102.3,136.63,106.71,125.02,95.51,134.55,90.39,125.76,117.22,85.67,79.08,124.65,115.59,0,82.45
"2016-07-27",63.17,111.32,143.73,0,92.86,137.04,0,0,0,102,0,71.91,133.17,0,95.43,82.03,126.78,0,0,129.14,130.34,110.74,137.25,153.22,126.31,124.09,120.17,133.92,116.52,125.74,110.86,104.76,79.35,97.8,111.92,105.41,82.12,77.4,93.83,88.88,104.96,100.93,113.82,111.67,102.94,152.55,139.94,100.97,99.86,97.97,114.05,112.2,115.49,104.29,82.82,91.59,100.07,111.77,0,153.52,116.57,163.49,91.69,114.05,133.91,118.14,92.29,116.94,80.67,83.06,0,0
"2016-07-28",0,82.32,0,89.48,0,0,0,90.44,75.78,121.87,0,0,0,0,92.24,70.33,73.14,0,98.22,102.33,127.97,85.84,146.26,201.59,188.91,163.32,126.57,214.44,264.36,170.69,133.6,122.91,120.06,117.56,138.15,102.45,116.33,125.18,140.86,102.03,153.29,113.66,97.81,101.67,110.61,119.53,165.07,0,127.64,95.75,128.3,132.68,129.94,92.95,91.6,115.57,125.65,132.84,119.18,131.03,132.5,118.47,142.43,114.65,98.67,73.82,85.19,99.96,100.54,69.71,92.89,213.16
"2016-07-29",0,133.98,82.66,68.73,0,88.87,87.24,0,111.44,97.22,96.82,0,0,72.34,92.52,87.84,0,85.88,97.95,140.17,161.06,114.68,173.03,152.51,192.8,151.3,171.91,143.3,157.55,132.8,105.52,0,138.79,113.92,104.39,114.53,100.1,118.64,100.04,90.45,109.06,98.08,122.91,115.03,139.27,161.84,106.78,91.18,107.29,164.75,105.64,113.38,0,121.03,105.96,106.02,147.59,96.33,125.2,118.95,138.24,121.92,110.61,116.94,0,98.18,82.91,110.58,109.76,0,84.75,0
"2016-07-30",0,115.09,66.04,0,97.14,67.7,0,0,0,91.56,107.98,0,0,0,136.26,86.59,69.14,89.06,71.59,0,139.99,78.49,121.31,114.73,150.23,109.79,99.04,152.62,197.23,144.94,175.92,129.17,137.47,132.61,159.94,128.53,128.35,123.33,124.16,0,123.83,138.9,138.94,101.48,117.21,143.52,146.84,107.56,169.84,181.42,164.87,205.37,159.2,113.5,129.96,121.66,129.04,104.1,118.3,141.24,109.69,142.8,97.58,117.66,116.95,116.7,113.83,91.01,63.86,88.81,102.94,0
"2016-07-31",71.88,87.62,0,0,0,0,140.06,0,0,81.98,0,0,0,0,0,0,84.51,94.92,81.92,113.1,95.83,75.4,97.03,133.22,111.93,128.92,128.59,189.94,106.98,124.83,136.85,97.79,141.48,143.33,132.34,97.62,113.62,118.43,94.12,84.38,142.69,88.77,164.36,122.1,121.89,111.8,133.78,117.67,0,106.34,106.47,158.36,132.11,110.42,88.25,131.6,127.54,103.95,142.74,95.83,106.13,113.64,112.73,94.4,116.89,101.16,0,132.31,90.7,0,120.72,0
"2016-08-01",0,99.24,101.99,0,78.15,89.66,93.86,89.68,0,0,0,0,0,0,112.01,100.42,0,116.23,91.5,136.3,91.45,159.07,130.8,150.77,157.68,177.06,172.82,183.01,182.15,116.46,139.82,0,100.72,120.12,102.79,0,111.27,109.64,115.28,115.52,117.71,114.46,117.01,125.17,109.29,115.71,109.09,108.1,126.59,113.38,129.88,162.66,96.63,125.44,113.09,140.04,138.92,100.26,138.16,110.58,97.25,108.68,133.95,103.11,0,106.91,0,120.37,87.07,100.45,99.16,167.08
