"","00:00","00:20","00:40","01:00","01:20","01:40","02:00","02:20","02:40","03:00","03:20","03:40","04:00","04:20","04:40","05:00","05:20","05:40","06:00","06:20","06:40","07:00","07:20","07:40","08:00","08:20","08:40","09:00","09:20","09:40","10:00","10:20","10:40","11:00","11:20","11:40","12:00","12:20","12:40","13:00","13:20","13:40","14:00","14:20","14:40","15:00","15:20","15:40","16:00","16:20","16:40","17:00","17:20","17:40","18:00","18:20","18:40","19:00","19:20","19:40","20:00","20:20","20:40","21:00","21:20","21:40","22:00","22:20","22:40","23:00","23:20","23:40"
"2016-07-19",0,0,0,0,107.44,160.63,0,0,0,0,0,0,0,0,187.3,0,0,0,80.19,0,134.56,0,0,180.11,151.39,64.55,0,120.52,82.26,0,100.46,145.63,0,21.48,195.16,182.46,0,97.64,80.8,121.32,86.08,29.26,0,52.03,0,144.53,128.6,0,144.7,147.11,75.28,173.78,192.5,141.04,202.21,360.56,168.36,113.73,0,0,82.45,0,0,0,0,0,0,0,283.51,0,0,0
"2016-07-20",0,0,0,0,135.02,0,0,0,0,185.46,0,0,0,0,0,0,0,0,0,0,0,0,0,65.28,237.4,0,152.86,75.02,99.94,85.98,76.25,0,168.86,61.31,117.66,0,187.53,53.81,158.82,0,147.59,77.44,0,35.27,101.47,134.41,166.11,215.74,35.07,215.61,124.97,248.15,125.53,175.44,213.84,0,154.72,165.56,257.77,263.1,68.53,0,0,0,205.68,162.6,75.09,0,0,177.96,167.24,0
"2016-07-21",0,0,0,0,0,0,0,146.28,0,195.28,0,0,0,0,0,0,0,0,218.35,0,0,137.28,0,0,0,109.55,0,92.93,120.04,84.2,98.28,150.54,103.36,53.69,150.62,49.24,121.74,143.34,0,90.94,61.74,179.4,188.78,133.43,108.89,105.91,131.96,170.93,98.41,239.19,58.08,0,311.28,79.03,0,224.42,0,127.81,0,0,0,0,0,187.48,0,0,52.39,106.73,0,0,0,0
"2016-07-22",0,0,142.67,0,0,0,0,181.93,0,0,0,0,0,0,153.96,123.68,0,0,146.91,0,42.9,0,0,89.06,158.32,222.62,190.78,61.28,62.82,44.17,118.99,0,69.91,46.34,148.14,0,106.64,84.79,76.85,144.44,104.64,59.25,63.95,85.78,155.77,51.1,18.99,221.93,206.46,114.48,0,37.34,209.64,114.05,98.15,0,239.98,218.15,0,0,0,207.04,0,141.41,241.59,0,206.42,116.82,0,275.68,0,0
"2016-07-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.28,38.46,140.88,120.41,0,0,159.45,105.72,0,178.87,180.34,0,122.09,0,96.81,194.61,0,0,158.59,138.89,111.09,0,93.25,100.43,0,64.94,111.75,181.99,108.58,128.35,112.32,105.84,163.92,0,105.02,155.53,133.1,0,85.44,0,160.46,0,0,0,88.08,92.59,0,0,0,0,0,0,0,156.32
"2016-07-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.39,0,79.25,42.33,154.93,30.86,219.5,0,151.95,62.03,64.36,89.61,108.18,167.96,94.64,0,231.1,94.41,150.13,0,99.55,57.86,125.58,0,112.25,128.35,137.76,136.26,0,37.06,0,178.7,0,258.91,0,231.44,36.55,85.67,150.64,107.22,0,60.08,95.53,0,0,184.26,0,0,101.25,0,0,0,0,0,0,0
"2016-07-25",0,149.26,0,0,0,0,0,0,0,0,0,0,213.51,0,0,0,96.5,0,0,0,0,196.44,34.27,115.5,76.81,61.2,40.02,130.33,105.64,0,94.8,0,107.67,0,142.97,0,79.13,41.23,57.8,161.18,64.69,139.57,145.41,0,0,145.17,50.26,188.88,164.02,266.91,158.64,71.09,128.89,204.5,175.41,91.97,119.58,103.14,0,0,0,0,0,106.65,0,0,0,0,0,0,0,199.68
"2016-07-26",0,0,0,0,177.07,0,0,0,0,226.93,0,0,0,0,0,0,0,0,121.34,0,0,0,105.66,0,0,186.44,193.3,130.31,49.95,0,127.51,138.66,255,153.19,0,138.51,172.59,97.9,70.76,61.89,52.48,0,196.27,0,84.28,140.78,92.47,126.77,0,90.03,0,244.31,106.53,116.57,0,0,0,0,0,0,234.42,0,0,0,0,0,0,0,0,0,0,0
"2016-07-27",0,0,0,0,215.09,0,0,0,0,0,0,0,0,0,0,0,0,59.66,0,0,0,59.74,0,139.74,112.34,120.69,0,102.12,139.52,0,101.06,0,59.98,0,182.83,178.12,27.25,89.38,0,168.49,62.84,274.25,53.99,0,60.7,0,65.47,186.71,179.71,195.47,80.55,60.16,85.94,192.99,0,0,150.27,0,0,0,0,0,0,96.53,114.31,71.32,133.23,71.73,136.11,0,0,182.75
"2016-07-28",0,0,207.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.49,101.05,0,0,173.98,179.1,164.15,0,216.6,206.06,0,51.9,168.61,234.53,97.88,176.49,74.16,0,81.5,165.04,141.96,115.05,68.67,98.51,212.12,232.31,166.07,148.52,199.62,66.16,0,68.73,159,0,171.54,239.57,0,0,207.2,0,0,0,338.06,0,0,141.26,0,172.01,0,0
