"","X","date","hour","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation","A_2","A_3","B_1","B_3","C_1","y"
"1729",1729,"2016-07-23","00:00",1003.2,1008,194,1.9,31.6,68,0,1,0,0,0,0,NA
"1730",1730,"2016-07-23","00:00",1003.2,1008,194,1.9,31.6,68,0,0,1,0,0,0,245.14
"1731",1731,"2016-07-23","00:00",1003.2,1008,194,1.9,31.6,68,0,0,0,1,0,0,NA
"1732",1732,"2016-07-23","00:00",1003.2,1008,194,1.9,31.6,68,0,0,0,0,1,0,NA
"1733",1733,"2016-07-23","00:00",1003.2,1008,194,1.9,31.6,68,0,0,0,0,0,1,NA
"1734",1734,"2016-07-23","00:00",1003.2,1008,194,1.9,31.6,68,0,0,0,0,0,0,192.92
"1735",1735,"2016-07-23","00:20",1003.2,1008,194,1.9,31.6,68,0,1,0,0,0,0,NA
"1736",1736,"2016-07-23","00:20",1003.2,1008,194,1.9,31.6,68,0,0,1,0,0,0,110.44
"1737",1737,"2016-07-23","00:20",1003.2,1008,194,1.9,31.6,68,0,0,0,1,0,0,NA
"1738",1738,"2016-07-23","00:20",1003.2,1008,194,1.9,31.6,68,0,0,0,0,1,0,141.81
"1739",1739,"2016-07-23","00:20",1003.2,1008,194,1.9,31.6,68,0,0,0,0,0,1,NA
"1740",1740,"2016-07-23","00:20",1003.2,1008,194,1.9,31.6,68,0,0,0,0,0,0,NA
"1741",1741,"2016-07-23","00:40",1003.2,1008,194,1.9,31.6,68,0,1,0,0,0,0,NA
"1742",1742,"2016-07-23","00:40",1003.2,1008,194,1.9,31.6,68,0,0,1,0,0,0,NA
"1743",1743,"2016-07-23","00:40",1003.2,1008,194,1.9,31.6,68,0,0,0,1,0,0,NA
"1744",1744,"2016-07-23","00:40",1003.2,1008,194,1.9,31.6,68,0,0,0,0,1,0,129.47
"1745",1745,"2016-07-23","00:40",1003.2,1008,194,1.9,31.6,68,0,0,0,0,0,1,NA
"1746",1746,"2016-07-23","00:40",1003.2,1008,194,1.9,31.6,68,0,0,0,0,0,0,NA
"1747",1747,"2016-07-23","01:00",1003.2,1008,194,1.9,31.6,68,0,1,0,0,0,0,NA
"1748",1748,"2016-07-23","01:00",1003.2,1008,194,1.9,31.6,68,0,0,1,0,0,0,NA
