"","date","hour","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation","A_2","A_3","B_1","B_3","C_1","y"
"1","2016-07-19","00:00",1002.5,1007.3,174,1.3,28.9,80,0,1,0,0,0,0,NA
"2","2016-07-19","00:00",1002.5,1007.3,174,1.3,28.9,80,0,0,1,0,0,0,NA
"3","2016-07-19","00:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,1,0,0,NA
"4","2016-07-19","00:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,1,0,70.85
"5","2016-07-19","00:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,1,NA
"6","2016-07-19","00:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,0,NA
"7","2016-07-19","00:20",1002.5,1007.3,174,1.3,28.9,80,0,1,0,0,0,0,58.05
"8","2016-07-19","00:20",1002.5,1007.3,174,1.3,28.9,80,0,0,1,0,0,0,NA
"9","2016-07-19","00:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,1,0,0,79.76
"10","2016-07-19","00:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,1,0,148.79
"11","2016-07-19","00:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,1,NA
"12","2016-07-19","00:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,0,NA
"13","2016-07-19","00:40",1002.5,1007.3,174,1.3,28.9,80,0,1,0,0,0,0,NA
"14","2016-07-19","00:40",1002.5,1007.3,174,1.3,28.9,80,0,0,1,0,0,0,NA
"15","2016-07-19","00:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,1,0,0,137.98
"16","2016-07-19","00:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,1,0,NA
"17","2016-07-19","00:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,1,NA
"18","2016-07-19","00:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,0,113.54
"19","2016-07-19","01:00",1002.5,1007.3,174,1.3,28.9,80,0,1,0,0,0,0,NA
"20","2016-07-19","01:00",1002.5,1007.3,174,1.3,28.9,80,0,0,1,0,0,0,NA
"21","2016-07-19","01:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,1,0,0,NA
"22","2016-07-19","01:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,1,0,NA
"23","2016-07-19","01:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,1,NA
"24","2016-07-19","01:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,0,NA
"25","2016-07-19","01:20",1002.5,1007.3,174,1.3,28.9,80,0,1,0,0,0,0,56.87
"26","2016-07-19","01:20",1002.5,1007.3,174,1.3,28.9,80,0,0,1,0,0,0,94.57
"27","2016-07-19","01:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,1,0,0,176.7
"28","2016-07-19","01:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,1,0,NA
"29","2016-07-19","01:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,1,214.87
"30","2016-07-19","01:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,0,NA
"31","2016-07-19","01:40",1002.5,1007.3,174,1.3,28.9,80,0,1,0,0,0,0,77.74
"32","2016-07-19","01:40",1002.5,1007.3,174,1.3,28.9,80,0,0,1,0,0,0,NA
"33","2016-07-19","01:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,1,0,0,NA
"34","2016-07-19","01:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,1,0,93.72
"35","2016-07-19","01:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,1,160.63
"36","2016-07-19","01:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,0,NA
"37","2016-07-19","02:00",1002.5,1007.3,174,1.3,28.9,80,0,1,0,0,0,0,NA
"38","2016-07-19","02:00",1002.5,1007.3,174,1.3,28.9,80,0,0,1,0,0,0,NA
"39","2016-07-19","02:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,1,0,0,NA
"40","2016-07-19","02:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,1,0,67.81
"41","2016-07-19","02:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,1,NA
"42","2016-07-19","02:00",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,0,NA
"43","2016-07-19","02:20",1002.5,1007.3,174,1.3,28.9,80,0,1,0,0,0,0,42.64
"44","2016-07-19","02:20",1002.5,1007.3,174,1.3,28.9,80,0,0,1,0,0,0,77.61
"45","2016-07-19","02:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,1,0,0,NA
"46","2016-07-19","02:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,1,0,NA
"47","2016-07-19","02:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,1,NA
"48","2016-07-19","02:20",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,0,NA
"49","2016-07-19","02:40",1002.5,1007.3,174,1.3,28.9,80,0,1,0,0,0,0,40.17
"50","2016-07-19","02:40",1002.5,1007.3,174,1.3,28.9,80,0,0,1,0,0,0,NA
"51","2016-07-19","02:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,1,0,0,NA
"52","2016-07-19","02:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,1,0,167.55
"53","2016-07-19","02:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,1,NA
"54","2016-07-19","02:40",1002.5,1007.3,174,1.3,28.9,80,0,0,0,0,0,0,NA
"55","2016-07-19","03:00",1001.4,1006.2,170,0.9,32.7,63,0,1,0,0,0,0,NA
"56","2016-07-19","03:00",1001.4,1006.2,170,0.9,32.7,63,0,0,1,0,0,0,93.09
"57","2016-07-19","03:00",1001.4,1006.2,170,0.9,32.7,63,0,0,0,1,0,0,NA
"58","2016-07-19","03:00",1001.4,1006.2,170,0.9,32.7,63,0,0,0,0,1,0,NA
"59","2016-07-19","03:00",1001.4,1006.2,170,0.9,32.7,63,0,0,0,0,0,1,NA
"60","2016-07-19","03:00",1001.4,1006.2,170,0.9,32.7,63,0,0,0,0,0,0,NA
"61","2016-07-19","03:20",1001.4,1006.2,170,0.9,32.7,63,0,1,0,0,0,0,41.92
"62","2016-07-19","03:20",1001.4,1006.2,170,0.9,32.7,63,0,0,1,0,0,0,NA
"63","2016-07-19","03:20",1001.4,1006.2,170,0.9,32.7,63,0,0,0,1,0,0,NA
"64","2016-07-19","03:20",1001.4,1006.2,170,0.9,32.7,63,0,0,0,0,1,0,NA
"65","2016-07-19","03:20",1001.4,1006.2,170,0.9,32.7,63,0,0,0,0,0,1,NA
"66","2016-07-19","03:20",1001.4,1006.2,170,0.9,32.7,63,0,0,0,0,0,0,NA
"67","2016-07-19","03:40",1001.4,1006.2,170,0.9,32.7,63,0,1,0,0,0,0,39.43
"68","2016-07-19","03:40",1001.4,1006.2,170,0.9,32.7,63,0,0,1,0,0,0,NA
"69","2016-07-19","03:40",1001.4,1006.2,170,0.9,32.7,63,0,0,0,1,0,0,NA
"70","2016-07-19","03:40",1001.4,1006.2,170,0.9,32.7,63,0,0,0,0,1,0,98.49
"71","2016-07-19","03:40",1001.4,1006.2,170,0.9,32.7,63,0,0,0,0,0,1,NA
