"date","hour","pressure","wind_direction","wind_speed","rel_humidity","precipitation"
"2016-07-01",0,1000.4,225,2.1,94,0
"2016-07-01",3,1000.5,187,2.7,76,0
"2016-07-01",6,998.9,212,2.9,67,0
"2016-07-01",9,998.7,244,2.7,59,0
"2016-07-01",12,999.7,222,1.3,68,0
"2016-07-01",15,1000,102,1.6,82,0
"2016-07-01",18,998.8,202,1.9,89,0
"2016-07-01",21,1000.2,334,2.2,90,0
"2016-07-02",0,1001.6,315,1.8,82,0
"2016-07-02",3,1002.4,46,3.2,70,0
"2016-07-02",6,1001.3,37,2.2,80,1
"2016-07-02",9,1001.9,345,2.4,95,10.2
"2016-07-02",12,1003.6,113,1,94,0.2
"2016-07-02",15,1002.4,138,1,96,0
"2016-07-02",18,1000.9,221,0.7,96,0
"2016-07-02",21,1000.9,999017,0.1,98,0
"2016-07-03",0,1001.5,220,1.5,97,0
"2016-07-03",3,1001.5,200,1.6,93,0.1
"2016-07-03",6,1000.8,207,1.8,92,0
"2016-07-03",9,1000.8,223,1.1,91,0.1
"2016-07-03",12,1001.6,137,0.6,91,0
"2016-07-03",15,1002.2,173,0.4,96,0.1
"2016-07-03",18,1000.5,330,0.7,98,0.4
"2016-07-03",21,1000.4,999017,0,98,0
"2016-07-04",0,1000.6,176,2,97,0
"2016-07-04",3,1000.5,179,2.1,69,0
"2016-07-04",6,999.7,160,1.7,56,0
"2016-07-04",9,998.8,287,1.4,55,0
"2016-07-04",12,1001.1,340,1,78,0
"2016-07-04",15,1001.1,188,1.3,79,0
"2016-07-04",18,1000.8,188,2.2,80,0
"2016-07-04",21,1002.8,261,0.3,87,0
"2016-07-05",0,1003.9,205,2,78,0
"2016-07-05",3,1004.7,122,1.2,62,0
"2016-07-05",6,1003.7,192,3.2,53,0
"2016-07-05",9,1004.4,334,5.3,74,0
"2016-07-05",12,1006.7,287,0.7,91,0.7
"2016-07-05",15,1006.8,224,2,93,0.7
"2016-07-05",18,1006.5,205,1,96,0
"2016-07-05",21,1006.8,229,1.2,96,0
"2016-07-06",0,1007.5,188,1.4,90,0
"2016-07-06",3,1007.5,183,2.3,63,0
"2016-07-06",6,1006.4,98,2.2,54,0
"2016-07-06",9,1004.8,94,2,54,0
"2016-07-06",12,1006,348,2.6,76,0
"2016-07-06",15,1006.4,326,1.9,84,0
"2016-07-06",18,1005.5,302,2.8,92,0
"2016-07-06",21,1005.8,311,1.5,93,0
"2016-07-07",0,1005.8,160,1.9,72,0
"2016-07-07",3,1005.9,276,1.1,63,0
"2016-07-07",6,1003.7,336,2.7,69,0
"2016-07-07",9,1002.5,76,5.1,68,0
"2016-07-07",12,1003.4,108,1.4,71,0
"2016-07-07",15,1002.9,47,2.1,84,0
"2016-07-07",18,1002.4,63,2.1,89,0
"2016-07-07",21,1002.1,24,1.8,90,0
"2016-07-08",0,1002.8,62,3.3,83,0
"2016-07-08",3,1001.7,100,3.3,65,0
"2016-07-08",6,1000.5,95,4.6,73,0
"2016-07-08",9,999.1,80,3.3,64,0
"2016-07-08",12,1000.4,56,2.9,79,0
"2016-07-08",15,1000.4,62,3.6,84,0
"2016-07-08",18,999.3,70,1.9,86,0
"2016-07-08",21,999.7,73,1.8,89,0
"2016-07-09",0,1000,76,1.8,89,0
"2016-07-09",3,999.4,78,3.7,78,0
"2016-07-09",6,998.1,85,4.4,74,0
"2016-07-09",9,997.9,71,2.7,92,7.3
"2016-07-09",12,998.2,63,2.2,93,0.2
"2016-07-09",15,998.5,89,3,92,0
"2016-07-09",18,997.1,76,2.8,91,0
"2016-07-09",21,997.2,96,2.5,91,0
"2016-07-10",0,997.1,30,1.9,87,0
"2016-07-10",3,996.7,102,1.9,76,0
"2016-07-10",6,994.9,85,2.7,83,0
"2016-07-10",9,994.6,58,2.9,81,0
"2016-07-10",12,996,35,1.8,87,0
"2016-07-10",15,996.4,45,1.6,92,0.1
"2016-07-10",18,995.5,73,0.7,95,0.1
"2016-07-10",21,995.4,43,0.8,97,0
"2016-07-11",0,996.3,171,1.4,92,0
"2016-07-11",3,996.2,251,1.1,91,0.7
"2016-07-11",6,994.8,169,0.7,78,0
"2016-07-11",9,994.1,81,2.4,80,0
"2016-07-11",12,994.8,999017,0.2,94,2.7
"2016-07-11",15,995.8,206,1.3,97,0.5
"2016-07-11",18,994.4,210,2,97,0
"2016-07-11",21,995.2,185,1.6,98,0
"2016-07-12",0,996.7,315,0.6,94,0
"2016-07-12",3,996.5,266,1.9,85,0.5
"2016-07-12",6,994.9,152,1.8,60,0
"2016-07-12",9,994.6,125,3.1,69,0
"2016-07-12",12,995.6,142,1.8,75,0
"2016-07-12",15,996.1,213,1.5,86,0
"2016-07-12",18,995.4,209,2.7,93,0
"2016-07-12",21,995.9,289,1.2,92,0
"2016-07-13",0,997.4,214,3,81,0
"2016-07-13",3,997.1,239,1.7,67,0
"2016-07-13",6,995.5,213,2.4,56,0
"2016-07-13",9,996,246,4.3,66,0
"2016-07-13",12,998,304,1.7,83,0
"2016-07-13",15,999.2,327,0.9,87,0
"2016-07-13",18,998.1,219,1.4,90,0
"2016-07-13",21,998.6,225,1.5,92,0
"2016-07-14",0,999.1,221,2.2,86,0
"2016-07-14",3,998.8,195,4.6,63,0
"2016-07-14",6,997.1,333,3.3,67,0
"2016-07-14",9,997.9,287,3.2,78,0
"2016-07-14",12,998.4,177,0.8,88,0
"2016-07-14",15,998.7,309,1.4,90,0
"2016-07-14",18,997.7,196,1.4,91,0
"2016-07-14",21,996.8,220,2.7,93,0
"2016-07-15",0,997.1,214,3.1,76,0
"2016-07-15",3,996,203,4.5,61,0
"2016-07-15",6,994.6,211,2.3,52,0
"2016-07-15",9,993.4,212,5.1,51,0
"2016-07-15",12,994.7,229,2.1,60,0
"2016-07-15",15,995.6,227,2.1,68,0
"2016-07-15",18,995.9,287,1.9,80,0
"2016-07-15",21,997.5,340,4.1,90,0.3
"2016-07-16",0,999.3,340,2.6,93,2
"2016-07-16",3,1000.4,345,1.3,91,0.4
"2016-07-16",6,1000.6,233,0.4,90,0
"2016-07-16",9,999.9,86,1.7,87,0
"2016-07-16",12,1002.1,281,0.7,90,0
"2016-07-16",15,1003,220,1,89,0
"2016-07-16",18,1002.2,225,1.4,93,0
"2016-07-16",21,1002.4,232,1.5,95,0
"2016-07-17",0,1003.6,157,1.8,86,0
"2016-07-17",3,1003,260,2.7,66,0
"2016-07-17",6,1001.7,200,1.5,62,0
"2016-07-17",9,1000.7,239,1.3,60,0
"2016-07-17",12,1002,65,3.1,78,0
"2016-07-17",15,1002.3,61,1.3,87,0
"2016-07-17",18,1001.5,226,1.5,94,0
"2016-07-17",21,1001.4,225,0.7,96,0
"2016-07-18",0,1002.5,174,1.3,80,0
"2016-07-18",3,1001.4,170,0.9,63,0
